date,price,dividend,small,large,rf,cpi,unemp_rate,ind_prod
193010,1.107064489,0.003094924,-0.112471,-0.082359,0.0013,16.500,,5.9803
193011,1.071730312,0.004267308,-0.056232,-0.028222,0.0014,16.400,,5.8413
193012,0.981237691,0.007167365,-0.207887,-0.06842,0.0015,16.100,,5.7022
193101,1.041161877,0.002667203,0.281433,0.05144,0.0004,15.900,,5.6744
193102,1.150244407,0.005120569,0.290888,0.107056,0.0013,15.700,,5.7022
193103,1.072028938,0.005895968,-0.119358,-0.056536,0.0008,15.600,,5.8134
193104,0.962288551,0.002299506,-0.232438,-0.087841,0.0009,15.500,,5.8413
193105,0.82912225,0.004371344,-0.153046,-0.126868,0.0008,15.300,,5.7578
193106,0.939542264,0.005930718,0.231803,0.132178,0.0006,15.100,,5.6187
193107,0.87468848,0.002429082,-0.068877,-0.064701,0.0003,15.100,,5.5353
193108,0.873335337,0.004039791,-0.063719,0.004637,0.0003,15.100,,5.3406
193109,0.614006269,0.00454373,-0.350205,-0.281972,0.001,15.000,,5.0902
193110,0.662029541,0.002020942,0.079485,0.074505,0.0017,14.900,,4.8955
193111,0.599197641,0.004301156,-0.10708,-0.088233,0.0012,14.700,,4.8399
193112,0.513216974,0.005099239,-0.257788,-0.131064,0.0023,14.600,,4.8121
193201,0.506564143,0.001244865,0.237888,-0.022628,0.0023,14.300,,4.6730
193202,0.532191223,0.00357793,-0.027567,0.067463,0.0016,14.100,,4.5617
193203,0.469404367,0.003921561,-0.130632,-0.108705,0.0011,14.000,,4.5061
193204,0.383957751,0.00122578,-0.186865,-0.184826,0.0006,13.900,,4.2001
193205,0.302250006,0.002532887,-0.097796,-0.203089,0.0002,13.700,,4.0611
193206,0.297458134,0.003490645,-0.075865,-0.013098,0.0003,13.600,,3.9220
193207,0.398047172,0.000736964,0.328941,0.333122,0.0003,13.600,,3.8107
193208,0.54345858,0.002414366,0.990236,0.341635,0.0003,13.500,,3.9220
193209,0.524650022,0.003234495,-0.167679,-0.021667,0.0002,13.400,,4.1723
193210,0.454334327,0.000770684,-0.185973,-0.12308,0.0002,13.300,,4.3114
193211,0.425478646,0.002382835,-0.111214,-0.053226,0.0001,13.200,,4.3114
193212,0.441024359,0.003692252,-0.103806,0.060233,0.0001,13.100,,4.2280
193301,0.4445036,0.000847347,0.065295,0.00551,-0.0003,12.900,,4.1445
193302,0.374240471,0.002160381,-0.187573,-0.152732,0.0004,12.700,,4.1723
193303,0.38360771,0.003017776,0.09608,0.018694,0.001,12.600,,3.9220
193304,0.534032953,0.000769976,0.474258,0.365025,0.0004,12.600,,4.2001
193305,0.646020731,0.001897972,1.112312,0.168143,0.0002,12.600,,4.8955
193306,0.729203652,0.00296884,0.385212,0.122968,0.0002,12.700,,5.6466
193307,0.658279847,0.00067066,-0.070338,-0.085587,0.0003,13.100,,6.1750
193308,0.736536813,0.001580297,0.021679,0.106655,0.0002,13.200,,5.9247
193309,0.655568585,0.003011911,-0.185685,-0.099262,0.0001,13.200,,5.5909
193310,0.599814443,0.000914552,-0.122392,-0.078009,0.0002,13.200,,5.3128
193311,0.656680452,0.003048797,0.014808,0.107255,0.0002,13.200,,5.0068
193312,0.665562055,0.002853231,0.020201,0.014988,0.0005,13.200,,5.0346
193401,0.748809225,0.001130542,0.638277,0.096053,0.0002,13.200,,5.2015
193402,0.728071703,0.002547634,0.079372,-0.026788,0.0002,13.300,,5.4518
193403,0.728202027,0.00308708,-0.01814,0.000299,0.0001,13.300,,5.7022
193404,0.713825135,0.001016606,0.022085,-0.019596,0.0001,13.300,,5.7022
193405,0.660036983,0.002194802,-0.158476,-0.064065,0.0001,13.300,,5.8134
193406,0.673780933,0.002979864,-0.063357,0.024219,0.0001,13.400,,5.7022
193407,0.598902311,0.001188237,-0.234539,-0.090136,0.0001,13.400,,5.3128
193408,0.629872148,0.003188892,0.114897,0.051537,0.0001,13.400,,5.2571
193409,0.625618621,0.00276191,-0.010362,0.001305,0.0001,13.600,,4.9512
193410,0.612897918,0.000898385,0.035573,-0.021678,0.0001,13.500,,5.1737
193411,0.6603877,0.00282213,0.106476,0.07213,0.0001,13.500,,5.2293
193412,0.659183153,0.003546611,0.110283,-0.000996,0.0001,13.400,,5.5631
193501,0.635947606,0.001206597,0.006819,-0.028445,0.0002,13.600,,6.0081
193502,0.620825408,0.002741556,-0.143586,-0.016224,0.0001,13.700,,6.1194
193503,0.595285272,0.003177912,-0.117319,-0.028363,0.0001,13.700,,6.0916
193504,0.648257922,0.000870876,0.076825,0.090948,0.0001,13.800,,5.9803
193505,0.668132213,0.002526621,-0.010028,0.036477,0.0001,13.800,,5.9803
193506,0.703564601,0.003178542,-0.054988,0.054925,0.0001,13.700,,6.0638
193507,0.754652537,0.001086896,0.146032,0.072792,0.0001,13.700,,6.0638
193508,0.771993698,0.002859158,0.134908,0.021103,0.0001,13.700,,6.2863
193509,0.788766805,0.003351175,0.055305,0.025243,0.0001,13.700,,6.4532
193510,0.842339846,0.001196465,0.015917,0.061879,0.0002,13.700,,6.6479
193511,0.88268624,0.004183954,0.458466,0.049186,0.0001,13.800,,6.7870
193512,0.920195992,0.003905727,0.033028,0.039951,0.0001,13.800,,6.8704
193601,0.982538351,0.001663231,0.392824,0.061532,0.0001,13.800,,6.7592
193602,1.004380178,0.003112264,0.053922,0.019389,0.0002,13.800,,6.5923
193603,1.009282558,0.003382045,-0.017916,0.012183,0.0002,13.700,,6.6757
193604,0.925869391,0.001174174,-0.17447,-0.071064,0.0002,13.700,,7.0930
193605,0.969837077,0.004211452,0.054418,0.053746,0.0003,13.700,,7.2320
193606,0.989965076,0.003793552,-0.046363,0.031945,0.0001,13.800,,7.3711
193607,1.053645569,0.001609415,0.068806,0.063235,0.0002,13.900,,7.5102
193608,1.060604898,0.004571704,0.01302,0.007019,0.0001,14.000,,7.6214
193609,1.069049434,0.004169777,0.043538,0.007625,0.0002,14.000,,7.7605
193610,1.14224618,0.001619486,0.037754,0.075738,0.0001,14.000,,7.8718
193611,1.169681791,0.010077667,0.196506,0.024381,0,14.000,,8.0943
193612,1.165722418,0.007219718,0.038822,-0.004515,0.0001,14.000,,8.3447
193701,1.202834357,0.001655345,0.193315,0.026907,0.0002,14.100,,8.3168
193702,1.215117702,0.003485756,0.022549,0.01245,0.0001,14.100,,8.4281
193703,1.20751228,0.004279742,0.011348,-0.007564,0.0003,14.200,,8.6228
193704,1.115044612,0.001399966,-0.163174,-0.069804,0.0006,14.300,,8.6228
193705,1.101771121,0.005400422,-0.038825,-0.000965,0.0003,14.400,,8.6506
193706,1.050789968,0.004977459,-0.133682,-0.036199,0.0003,14.400,,8.5394
193707,1.143381377,0.001688363,0.104232,0.089345,0.0002,14.500,,8.5950
193708,1.083058862,0.005015867,-0.084578,-0.048505,0.0004,14.500,,8.5394
193709,0.930045389,0.005035687,-0.23167,-0.118234,0.0002,14.600,,8.2612
193710,0.839488729,0.001458134,-0.09653,-0.094589,0.0002,14.600,,7.6493
193711,0.759567723,0.010184721,-0.123281,-0.078615,0,14.500,,6.8982
193712,0.721586299,0.00700103,-0.135868,-0.030364,0,14.400,,6.2863
193801,0.725274327,0.001199765,0.088202,0.005678,0,14.200,,6.1472
193802,0.764381844,0.002963682,-0.008635,0.049436,-0.0001,14.100,,6.0916
193803,0.578539215,0.003596743,-0.319607,-0.226946,0.0001,14.100,,6.0916
193804,0.661883574,0.001099424,0.228286,0.13316,0,14.200,,5.9803
193805,0.632974485,0.00305628,-0.085199,-0.029108,0,14.100,,5.8413
193806,0.780124596,0.003438578,0.280308,0.220468,-0.0001,14.100,,5.8969
193807,0.835223236,0.001144404,0.162026,0.06236,0,14.100,,6.2307
193808,0.80976229,0.002789924,-0.137325,-0.020574,0.0002,14.100,,6.5645
193809,0.813802194,0.003172266,-0.024523,0.015156,0.0001,14.100,,6.7592
193810,0.876853147,0.001178367,0.197682,0.06128,-0.0006,14.000,,6.9261
193811,0.856461927,0.004421056,-0.06484,-0.017304,0,14.000,,7.2042
193812,0.88773906,0.004618443,-0.055318,0.03869,-0.0001,14.000,,7.2877
193901,0.833044569,0.001090396,-0.061407,-0.052843,0.0001,14.000,,7.2877
193902,0.859031394,0.003377443,0.024521,0.031263,-0.0001,13.900,,7.3433
193903,0.751933373,0.003385009,-0.181444,-0.099151,0,13.900,,7.3711
193904,0.74934973,0.00112933,0.012378,-0.003825,0.0001,13.800,,7.3433
193905,0.797490954,0.003537235,0.028675,0.062338,0.0001,13.800,,7.3155
193906,0.751088943,0.003630689,-0.105109,-0.045529,0,13.800,,7.4824
193907,0.826709329,0.001171564,0.113582,0.092804,-0.0001,13.800,,7.7049
193908,0.767360693,0.003735641,-0.113611,-0.052959,0.0001,13.800,,7.8162
193909,0.888074204,0.003452137,0.875167,0.137663,0,14.100,,8.2890
193910,0.883272386,0.001078392,-0.105069,-0.004785,0,14.000,,8.7063
193911,0.842803495,0.007661401,-0.158965,-0.025936,0,14.000,,8.9288
193912,0.862015201,0.005799657,-0.027646,0.029234,0,14.000,,8.9288
194001,0.839936406,0.001203416,-0.028379,-0.024986,0,13.900,,8.8175
194002,0.848152664,0.004173693,0.027973,0.013864,0,14.000,,8.5394
194003,0.860539085,0.00342091,0.042204,0.015787,0,14.000,,8.3446
194004,0.859738784,0.001518451,-0.02389,-0.000898,-0.0002,14.000,,8.5115
194005,0.664547129,0.005085988,-0.284166,-0.206778,0,14.000,,8.7619
194006,0.705162256,0.003808516,0.049426,0.067692,0.0001,14.100,,9.0400
194007,0.726338984,0.001332306,0.02142,0.029499,-0.0001,14.000,,9.1513
194008,0.739145067,0.004834296,0.004641,0.023768,0,14.000,,9.2069
194009,0.752591594,0.003635949,0.053216,0.019951,0,14.000,,9.4016
194010,0.773855317,0.001419662,0.005016,0.022309,0,14.000,,9.5407
194011,0.753052538,0.007828219,-0.01072,-0.01969,0,14.000,,9.7632
194012,0.752102939,0.00590096,-0.053884,0.01247,-0.0001,14.100,,10.0970
194101,0.719873071,0.001221213,0.054084,-0.044893,-0.0001,14.100,,10.3474
194102,0.705515923,0.004416011,-0.015851,-0.012018,0.0001,14.100,,10.6533
194103,0.708239214,0.003984127,0.017162,0.008223,-0.0001,14.200,,10.9871
194104,0.668675555,0.001304171,-0.055726,-0.05506,0,14.300,,11.0149
194105,0.672123247,0.005331258,0.00542,0.013458,0,14.400,,11.5156
194106,0.70678397,0.004648632,0.083418,0.058147,0.0003,14.700,,11.5991
194107,0.747269263,0.001596515,0.284085,0.044896,0.0001,14.700,,11.7381
194108,0.74132623,0.005072104,-0.012637,-5.20E-05,0.0001,14.900,,11.8772
194109,0.73186839,0.003810283,-0.051595,-0.006465,0,15.100,,11.8772
194110,0.691396068,0.001735032,-0.081336,-0.052807,0,15.300,,11.9885
194111,0.668797788,0.008571018,-0.051786,-0.019472,0.0001,15.400,,12.0441
194112,0.630937814,0.006623215,-0.144868,-0.043044,0.0002,15.500,,12.2388
194201,0.635464793,0.001136624,0.398354,-0.009393,0.0001,15.700,,12.4892
194202,0.616419913,0.0040099,-0.036271,-0.025469,0.0001,15.800,,12.7117
194203,0.572201647,0.00405654,-0.074734,-0.068715,0.0001,16.000,,12.8508
194204,0.545884949,0.001376511,0.005556,-0.039391,0.0003,16.100,,12.4892
194205,0.574485499,0.004241605,-0.032241,0.068352,0.0002,16.300,,12.5170
194206,0.584956072,0.00432902,0.049103,0.026358,0.0003,16.300,,12.5448
194207,0.604151405,0.001466776,0.075168,0.030972,0.0003,16.400,,12.8508
194208,0.61135289,0.003914266,0.02065,0.016409,0.0003,16.500,,13.2402
194209,0.624235318,0.003661169,0.150715,0.025007,0.0003,16.500,,13.5461
194210,0.666092169,0.001268547,0.127479,0.062229,0.0003,16.700,,13.9912
194211,0.660001422,0.006865147,-0.044448,0.006464,0.0003,16.800,,14.3250
194212,0.688040262,0.005804524,0.012981,0.049515,0.0003,16.900,,14.6588
194301,0.737489028,0.001039553,0.407,0.061588,0.0003,16.900,,14.7979
194302,0.778303146,0.00378246,0.371668,0.050937,0.0003,16.900,,15.1873
194303,0.822453948,0.003938161,0.066963,0.04376,0.0003,17.200,,15.2985
194304,0.827257079,0.001226211,0.113863,0.000178,0.0003,17.400,,15.4932
194305,0.870046952,0.004475,0.155383,0.052906,0.0003,17.500,,15.6045
194306,0.880723298,0.004413673,-0.04114,0.020018,0.0003,17.500,,15.5211
194307,0.837320373,0.001343868,-0.086265,-0.039651,0.0003,17.400,,15.9939
194308,0.844684606,0.003887272,-0.029339,0.01433,0.0003,17.300,,16.3277
194309,0.860822305,0.004193913,0.060337,0.020614,0.0003,17.400,,16.7449
194310,0.84983563,0.00102295,-0.025521,-0.013152,0.0003,17.400,,16.9953
194311,0.79156835,0.00734931,-0.146094,-0.048503,0.0003,17.400,,17.2178
194312,0.836644209,0.005748255,0.138019,0.052266,0.0003,17.400,,16.9953
194401,0.850556766,0.001170503,0.087524,0.012009,0.0003,17.400,,17.1900
194402,0.84920353,0.00428932,0.03142,0.002188,0.0002,17.400,,17.3291
194403,0.866168069,0.004062859,0.060054,0.019176,0.0003,17.400,,17.3012
194404,0.850719095,0.001169426,-0.047354,-0.011521,0.0003,17.500,,17.3012
194405,0.888939352,0.005081902,0.078261,0.045232,0.0003,17.500,,17.1900
194406,0.934741063,0.004720785,0.195333,0.045407,0.0003,17.600,,17.1344
194407,0.91921221,0.001324547,-0.038092,-0.015479,0.0003,17.700,,17.1065
194408,0.928787644,0.004754877,0.054945,0.009878,0.0002,17.700,,17.3291
194409,0.925565679,0.003637624,-0.015113,0.002019,0.0003,17.700,,17.2178
194410,0.9261312,0.001393806,-0.001169,0.003346,0.0003,17.700,,17.2734
194411,0.933177206,0.008379044,0.024971,0.014821,0.0002,17.700,,17.1343
194412,0.966119295,0.005375989,0.109319,0.031777,0.0003,17.800,,17.0787
194501,0.984428221,0.001222366,0.086128,0.012822,0.0002,17.800,,16.9118
194502,1.043389565,0.004505341,0.104984,0.056383,0.0002,17.800,,16.8562
194503,0.998352698,0.004154191,-0.11153,-0.033485,0.0003,17.800,,16.7449
194504,1.075206887,0.001247197,0.101113,0.071737,0.0003,17.800,,16.4390
194505,1.088581386,0.00616952,0.058115,0.017249,0.0002,17.900,,15.9939
194506,1.089764673,0.003901468,0.107325,-0.006384,0.0003,18.100,,15.6323
194507,1.064367708,0.001348335,-0.045952,-0.014214,0.0003,18.100,,15.2707
194508,1.125193129,0.004973229,0.046816,0.055671,0.0003,18.100,,13.6852
194509,1.175791939,0.003739419,0.055444,0.040777,0.0003,18.100,,12.4613
194510,1.220007595,0.00134323,0.118523,0.028098,0.0002,18.100,,11.9607
194511,1.278399598,0.008524485,0.146189,0.039445,0.0003,18.100,,12.4057
194512,1.290183886,0.004831992,0.02374,0.005173,0.0003,18.200,,12.4613
194601,1.370469449,0.001512563,0.157902,0.053821,0.0003,18.200,,11.7660
194602,1.285852554,0.004770792,-0.079203,-0.052465,0.0003,18.100,,11.1818
194603,1.35608582,0.004264359,0.006062,0.050013,0.0003,18.300,,12.3501
194604,1.411894176,0.001542427,0.073855,0.039412,0.0003,18.400,,12.1276
194605,1.462828258,0.005808889,0.036913,0.030466,0.0003,18.500,,11.6825
194606,1.402096017,0.004161784,-0.04033,-0.030152,0.0003,18.700,,12.4057
194607,1.363262164,0.001943394,-0.047236,-0.019496,0.0003,19.800,,12.8229
194608,1.269987767,0.005380096,-0.092676,-0.061871,0.0003,20.200,,13.2958
194609,1.136118356,0.004295448,-0.180134,-0.088883,0.0003,20.400,,13.5461
194610,1.118050666,0.001972954,-0.001505,-0.015636,0.0003,20.800,,13.7965
194611,1.110811288,0.008007473,-0.016609,-0.000153,0.0003,21.300,,13.8799
194612,1.159033828,0.007486407,0.016447,0.046201,0.0003,21.500,,13.9634
194701,1.172404442,0.001791681,0.068656,0.010397,0.0003,21.500,,14.1303
194702,1.153199285,0.006193368,0.000764,-0.011824,0.0003,21.500,,14.2137
194703,1.129206974,0.004623636,-0.038124,-0.011841,0.0003,21.900,,14.2972
194704,1.073325908,0.002017333,-0.118703,-0.031684,0.0003,21.900,,14.1859
194705,1.055812449,0.007172677,-0.060433,0.002613,0.0003,21.900,,14.2415
194706,1.107059474,0.004942744,0.065792,0.050364,0.0003,22.000,,14.2415
194707,1.150613408,0.002217663,0.079336,0.034467,0.0003,22.200,,14.1581
194708,1.124531303,0.006102383,-0.023049,-0.018681,0.0006,22.500,,14.2415
194709,1.113878618,0.005396958,0.017872,-0.009396,0.0006,23.000,,14.3528
194710,1.139327403,0.002206852,0.037686,0.022626,0.0006,23.000,,14.4919
194711,1.106840621,0.011108874,-0.017033,-0.013921,0.0008,23.100,,14.6866
194712,1.132573559,0.008244407,0.035567,0.030037,0.0007,23.400,3.4,14.7422
194801,1.087627377,0.002009776,0.034113,-0.04434,0.0007,23.700,3.8,14.8257
194802,1.033787647,0.00660355,-0.073481,-0.037673,0.0009,23.500,4,14.8535
194803,1.113249734,0.005949407,0.096706,0.072294,0.0008,23.400,3.9,14.6866
194804,1.153295554,0.002396818,0.04273,0.03606,0.0008,23.800,3.5,14.7144
194805,1.23216021,0.006837564,0.115566,0.070314,0.0009,23.900,3.6,14.9647
194806,1.225483134,0.006323238,-0.014537,0.006251,0.0008,24.100,3.6,15.1594
194807,1.162064382,0.001789157,-0.064223,-0.047374,0.0009,24.400,3.9,15.1594
194808,1.158694395,0.007730873,-0.010715,0.004719,0.0004,24.500,3.8,15.1038
194809,1.117997572,0.006144084,-0.053172,-0.023863,0.0004,24.500,3.7,14.9926
194810,1.182198582,0.003227622,0.06119,0.062816,0.0004,24.400,3.8,15.1038
194811,1.060946385,0.012381602,-0.112584,-0.085877,0.0004,24.200,4,14.9091
194812,1.086434561,0.009049962,-0.003132,0.035796,0.001,24.100,4.3,14.7700
194901,1.087649195,0.002122102,0.03813,-0.001467,0.0009,24.000,4.7,14.6310
194902,1.048236051,0.008021084,-0.064782,-0.028778,0.001,23.800,5,14.4919
194903,1.085279665,0.006487904,0.078267,0.035759,0.0009,23.800,5.3,14.2137
194904,1.062959803,0.002811288,-0.027682,-0.013523,0.001,23.900,6.1,14.1303
194905,1.025208786,0.007458999,-0.069551,-0.028398,0.001,23.800,6.2,13.9356
194906,1.020716321,0.006718035,-0.005994,0.003442,0.0009,23.900,6.7,13.9078
194907,1.076627078,0.001631887,0.072678,0.054425,0.0009,23.700,6.8,13.8799
194908,1.096961333,0.00863218,0.016377,0.029032,0.0009,23.800,6.6,14.0190
194909,1.126869984,0.005276691,0.041751,0.027593,0.0009,23.900,7.9,14.1581
194910,1.160678337,0.002024411,0.070885,0.033084,0.0008,23.700,6.4,13.6296
194911,1.165958263,0.016210602,-0.019402,0.016909,0.0009,23.800,6.6,13.9912
194912,1.218157049,0.008730159,0.089796,0.046088,0.0009,23.600,6.5,14.2415
195001,1.237491637,0.002301538,0.069975,0.0113,0.0009,23.500,6.4,14.4919
195002,1.247605657,0.008725739,0.013043,0.014151,0.001,23.500,6.3,14.5475
195003,1.256909052,0.006584398,0.01108,0.018688,0.0009,23.600,5.8,15.0204
195004,1.305596681,0.002437512,0.057576,0.041284,0.001,23.600,5.5,15.5210
195005,1.353664834,0.009590572,0.026634,0.049627,0.001,23.700,5.4,15.8826
195006,1.268656036,0.006462843,-0.09818,-0.050223,0.001,23.800,5,16.3555
195007,1.287149235,0.001957339,0.1127,0.008107,0.001,24.100,4.5,16.8840
195008,1.338909367,0.013704441,0.059142,0.052625,0.001,24.300,4.4,17.4125
195009,1.397984726,0.006580919,0.038191,0.044466,0.0012,24.400,4.2,17.3012
195010,1.393887233,0.002438872,-0.001005,0.00258,0.0011,24.600,4.2,17.4125
195011,1.410987442,0.023367935,0.036272,0.024088,0.0011,24.700,4.3,17.3847
195012,1.483015529,0.009719414,0.161128,0.050245,0.0013,25.000,3.7,17.6907
195101,1.567192973,0.002923389,0.08238,0.052996,0.001,25.400,3.4,17.7463
195102,1.578845053,0.01040886,-0.000484,0.014315,0.0011,25.700,3.4,17.8576
195103,1.538185056,0.007312468,-0.050296,-0.016999,0.0013,25.800,3.1,17.9410
195104,1.612768573,0.00241619,0.03848,0.054592,0.0012,25.800,3,17.9688
195105,1.564433899,0.012088554,-0.029301,-0.023441,0.0012,25.900,3.2,17.9132
195106,1.517760578,0.006719244,-0.056946,-0.019166,0.0013,25.900,3.1,17.8297
195107,1.624372634,0.0020734,0.03996,0.069782,0.0013,25.900,3.1,17.5516
195108,1.684068329,0.013388868,0.067635,0.048784,0.0012,25.900,3.3,17.3847
195109,1.693059569,0.006303083,0.006789,0.000658,0.0016,26.100,3.5,17.4960
195110,1.651484799,0.003257975,-0.009338,-0.021887,0.0011,26.200,3.5,17.4681
195111,1.644821058,0.016867823,-0.016253,0.003842,0.0012,26.400,3.1,17.6072
195112,1.694562091,0.008253696,-0.004135,0.042416,0.0015,26.500,3.2,17.7185
195201,1.720692239,0.002677058,0.023984,0.016889,0.0012,26.500,3.1,17.9132
195202,1.6650657,0.012349364,-0.024132,-0.028516,0.0011,26.300,2.9,18.0244
195203,1.734542231,0.006890407,0.012924,0.052356,0.0012,26.300,2.9,18.0801
195204,1.646345962,0.002942876,-0.048251,-0.050991,0.0013,26.400,3,17.9132
195205,1.68810882,0.012297489,-0.009087,0.034609,0.0015,26.400,3,17.7463
195206,1.748185237,0.006721101,0.030362,0.044274,0.0015,26.500,3.2,17.5794
195207,1.765487026,0.00263084,-0.001642,0.010451,0.0015,26.700,3.4,17.3012
195208,1.741118009,0.012464581,-0.000414,-0.009594,0.0016,26.700,3.1,18.4139
195209,1.700959122,0.006812184,-0.013537,-0.020727,0.0014,26.700,3,19.0814
195210,1.689120447,0.002804366,-0.013365,-0.002142,0.001,26.700,2.8,19.2762
195211,1.773174458,0.016167634,0.04027,0.058412,0.0016,26.700,2.7,19.6656
195212,1.819984491,0.008263861,0.017361,0.033879,0.0016,26.700,2.9,19.7768
195301,1.815019573,0.001970111,0.053794,-0.008281,0.0014,26.600,2.6,19.8324
195302,1.79848656,0.013211222,0.029314,-0.005362,0.0018,26.500,2.6,19.9437
195303,1.768486006,0.006858839,-0.015277,-0.015096,0.0016,26.600,2.7,20.1106
195304,1.716977082,0.002509513,-0.018523,-0.028778,0.0017,26.600,2.5,20.1941
195305,1.716377857,0.01246501,0.016029,0.006756,0.0018,26.700,2.5,20.3053
195306,1.681152634,0.007106176,-0.042793,-0.010552,0.0015,26.800,2.6,20.2219
195307,1.720755547,0.002608867,0.0095,0.028312,0.0017,26.800,2.7,20.4722
195308,1.632368938,0.012559457,-0.049627,-0.044452,0.0016,26.900,2.9,20.3609
195309,1.630225638,0.007046887,-0.036966,0.004977,0.0013,26.900,3.1,19.9437
195310,1.705098641,0.002596583,0.025083,0.050587,0.0008,27.000,3.5,19.7768
195311,1.736549185,0.017122553,0.019016,0.028745,0.0013,26.900,4.5,19.3040
195312,1.728488124,0.009225554,-0.020178,0.002701,0.0011,26.900,4.9,18.8311
195401,1.817505263,0.002109266,0.113779,0.047769,0.0007,26.900,5.2,18.6920
195402,1.836271004,0.013114972,-0.011791,0.0174,0.0008,26.900,5.7,18.7477
195403,1.897554713,0.007340339,0.02426,0.039919,0.0009,26.900,5.9,18.6364
195404,1.976908553,0.002544861,0.009498,0.054452,0.0005,26.800,5.9,18.5251
195405,2.026742464,0.012824083,0.035389,0.026317,0.0006,26.900,5.6,18.6364
195406,2.042484173,0.00767671,0.012611,0.011414,0.0005,26.900,5.8,18.6920
195407,2.143468675,0.002500592,0.111418,0.042581,0.0005,26.900,6,18.7198
195408,2.080517144,0.014140001,-0.005873,-0.024696,0.0009,26.900,6.1,18.6920
